Year,Category,Title,Winners
2013,Record Of The Year,Get Lucky,"Daft Punk (Thomas Bangalter & Guy-Manuel de Homem-Christo), Nile Rodgers &Pharrell Williams, artists. Thomas Bangalter & Guy-Manuel de Homem-Christo, producers. Peter Franco, Mick Guzauski, Florian Lagatta & Daniel Lerner, engineers/mixers. Antoine Chabert & Bob Ludwig, mastering engineers."
2013,Album Of The Year,Random Access Memories,"Daft Punk (Thomas Bangalter & Guy-Manuel de Homem-Christo), artists. Julian Casablancas, DJ Falcon, Todd Edwards, Chilly Gonzales, Giorgio Moroder, Panda Bear, Nile Rodgers, Paul Williams &Pharrell Williams, featured artists. Thomas Bangalter, Julian Casablancas, Guy-Manuel de Homem-Christo, DJ Falcon & Todd Edwards, producers. Peter Franco, Mick Guzauski, Florian Lagatta, Guillaume Le Braz & Daniel Lerner, engineers/mixers. Antoine Chabert & Bob Ludwig, mastering engineers."
2013,Song Of The Year,Royals,"Joel Little & Ella Yelich O'Connor, songwriters."
2013,Best New Artist,,"Macklemore & Ryan Lewis (Ryan Lewis & Macklemore), artists."
2013,Best Pop Solo Performance,Royals,"Lorde, artist."
2013,Best Pop Duo/Group Performance,Get Lucky,"Daft Punk (Thomas Bangalter & Guy-Manuel de Homem-Christo), Nile Rodgers &Pharrell Williams, artists."
2013,Best Pop Instrumental Album,Steppin' Out,"Herb Alpert, artist. Herb Alpert & Lani Hall, producers. Mick Guzauski, Hussain Jiffry & Alan Myerson, engineers/mixers."
2013,Best Pop Vocal Album,Unorthodox Jukebox,"Bruno Mars, artist. Philip Lawrence, Ari Levine & Bruno Mars, producers. Ari Levine & Manny Marroquin, engineers/mixers."
2013,Best Dance Recording,Clarity,"Foxes & Zedd, artists. Zedd, producer. Zedd, mixer."
2013,Best Dance/Electronica Album,Random Access Memories,"Daft Punk (Thomas Bangalter & Guy-Manuel de Homem-Christo), artists. Daft Punk, producers. Peter Franco, Mick Guzauski & Florian Lagatta, engineers/mixers."
2013,Best Traditional Pop Vocal Album,To Be Loved,"Michael Bublé, artist. Bob Rock, producer. Eric Helmkamp, Roger Monk & Bob Rock, engineers/mixers."
2013,Best Rock Performance,Radioactive,"Imagine Dragons (Ben McKee, Daniel Platzman, Dan Reynolds & Wayne Sermon), artists."
2013,Best Metal Performance,God Is Dead?,"Black Sabbath (Geezer Butler, Tony Iommi & Ozzy Osbourne), artists."
2013,Best Rock Song,Cut Me Some Slack,"Dave Grohl, Paul McCartney, Krist Novoselic & Pat Smear, songwriters."
2013,Best Rock Album,Celebration Day,"Led Zeppelin (Jason Bonham, John Paul Jones, Jimmy Page & Robert Plant), artists. Dick Curruthers & Jim Parsons, producers. John Catlin, Alan Moulder & Tim Summerhayes, engineers/mixers."
2013,Best Alternative Music Album,Modern Vampires Of The City,"Vampire Weekend (Chris Baio, Rostam Batmanglij, Ezra Koenig & Chris Tomson), artists. Ariel Rechtshaid, producer. Michael Harris, Ariel Rechtshaid, Nick Rowe & Dave Schiffman, engineers/mixers."
2013,Best R&B Performance,Something,"Lalah Hathaway & Snarky Puppy (Michael League), artists."
