Artist,Nominations
Quincy Jones,79
Georg Solti,74
Jay-Z,64
Chick Corea,61
John Williams,
Beyonc‚,53
Kanye West,
David Foster,47
U2,
Dolly Parton,46
Bruce Springsteen,
Eminem,42
Alison Krauss,
Barbra Streisand,
Vince Gill,41
,
Artist,Nominations
Brian McKnight,16
Snoop Dogg,
Joe Satriani,15
Martina McBride,14
Bj”rk,13
Nas,
Diana Ross,12
Spyro Gyra,
Megadeth,11
Musiq Soulchild,
Busta Rhymes,
Connie Smith,
Vanessa L. Williams,
Jazmine Sullivan,
Katy Perry,
Dierks Bentley,10
Me'Shell Ndegeocello,
Alan Parsons,
Jamey Johnson,9
Tanya Tucker,
