Rank	Artist	Grammys
1	Sir Georg Solti	31
2	Quincy Jones	27
3	Pierre Boulez	26
4	Vladimir Horowitz	25
5	Stevie Wonder	22
6	Kanye West	21
	John Williams	21
8	Chick Corea	20
	Vince Gill	20
	Henry Mancini	20
	Pat Metheny	20
	Bruce Springsteen	20
	Al Schmitt	20
14	Jay-Z	19
15	Jimmy Sturr	18
	Sir Paul McCartney	18
17	Ray Charles	17
	Eric Clapton	17
	Yo-Yo Ma	17
20	Tony Bennett	16
	Leonard Bernstein	16
	Sting	16
1	Alison Krauss[note 1]	27
2	Aretha Franklin	18
3	Beyoncé[note 2]	17
4	Alicia Keys	15
5	Ella Fitzgerald	13
	Leontyne Price	13
	Emmylou Harris	13
8	Shirley Caesar	11
9	Adele	10
	Chaka Khan	10
	Bonnie Raitt	10
	Linda Ronstadt	10
	Cece Winans	10
14	Mary J. Blige	9
	Natalie Cole	9
	Sheryl Crow	9
	Norah Jones	9
